epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,297.54,1.44852,1.23959,1.42889,0.3165,0.58594,0.32811,0.18222,1.51563,4.90638,1.61589,0.0011486,0.0011486,0.0011486
45,304.031,1.45811,1.26227,1.45358,0.45631,0.61719,0.4825,0.27744,1.42635,4.11381,1.54315,0.0011288,0.0011288,0.0011288
46,310.527,1.4302,1.31666,1.46485,0.69298,0.67969,0.70898,0.44804,1.31795,2.15563,1.45851,0.001109,0.001109,0.001109
47,317.377,1.42943,1.25377,1.47877,0.71252,0.63281,0.71356,0.45302,1.30028,2.57335,1.43846,0.0010892,0.0010892,0.0010892
48,324.294,1.42126,1.19713,1.49323,0.66656,0.64062,0.67405,0.42591,1.32767,2.97988,1.45619,0.0010694,0.0010694,0.0010694
49,330.759,1.33618,1.13591,1.35126,0.69413,0.62054,0.68209,0.41093,1.41925,3.08836,1.47921,0.0010496,0.0010496,0.0010496
50,337.445,1.36565,1.18914,1.39399,0.77122,0.65841,0.75384,0.45938,1.40642,1.91064,1.50351,0.0010298,0.0010298,0.0010298
51,344.186,1.3849,1.18086,1.43912,0.85618,0.69768,0.8048,0.49873,1.30823,1.43025,1.44312,0.00101,0.00101,0.00101
52,351.062,1.31053,1.06116,1.35363,0.88201,0.71875,0.83873,0.52596,1.33792,1.28012,1.45775,0.0009902,0.0009902,0.0009902
53,357.974,1.43252,1.1828,1.42439,0.79434,0.71094,0.78763,0.50597,1.32528,1.51568,1.46553,0.0009704,0.0009704,0.0009704
54,364.585,1.41039,1.10962,1.4478,0.6731,0.67969,0.66517,0.4022,1.35821,2.16924,1.548,0.0009506,0.0009506,0.0009506
55,371.071,1.35824,1.09743,1.40758,0.71528,0.71094,0.74115,0.44741,1.33084,1.74422,1.55175,0.0009308,0.0009308,0.0009308
56,377.576,1.35825,1.08224,1.37397,0.73921,0.73438,0.7644,0.50261,1.26985,1.49718,1.40907,0.000911,0.000911,0.000911
57,384.014,1.36278,1.17506,1.42206,0.87971,0.75,0.86643,0.56775,1.25242,1.26329,1.38714,0.0008912,0.0008912,0.0008912
58,390.86,1.39167,1.14012,1.42764,0.9127,0.78125,0.91804,0.61343,1.18855,1.01021,1.35302,0.0008714,0.0008714,0.0008714
59,397.695,1.29235,1.14921,1.43809,0.83813,0.84951,0.92063,0.61304,1.16995,0.97974,1.34239,0.0008516,0.0008516,0.0008516
60,404.246,1.33611,1.13153,1.40117,0.86076,0.85938,0.92141,0.59236,1.24775,0.94821,1.39104,0.0008318,0.0008318,0.0008318
61,410.665,1.27407,1.0859,1.36968,0.90611,0.82933,0.92339,0.5874,1.24861,0.95671,1.38326,0.000812,0.000812,0.000812
62,417.244,1.31128,1.08401,1.33675,0.94121,0.79688,0.90814,0.6126,1.14141,0.90571,1.33893,0.0007922,0.0007922,0.0007922
63,423.633,1.25551,0.94093,1.36695,0.91117,0.80469,0.89975,0.60217,1.17298,0.89088,1.35463,0.0007724,0.0007724,0.0007724
64,430.198,1.26886,0.94311,1.33426,0.93829,0.73438,0.87985,0.56681,1.22668,0.97337,1.36227,0.0007526,0.0007526,0.0007526
65,436.706,1.29086,1.00417,1.39363,0.9257,0.71875,0.87618,0.56613,1.23705,1.02405,1.35875,0.0007328,0.0007328,0.0007328
66,443.184,1.23556,0.93957,1.28807,0.91386,0.82031,0.93581,0.63248,1.12404,0.86381,1.3216,0.000713,0.000713,0.000713
67,449.908,1.22581,0.93189,1.29445,0.91419,0.8323,0.94514,0.65056,1.11468,0.81711,1.32395,0.0006932,0.0006932,0.0006932
68,456.919,1.10411,0.87097,1.24716,0.88948,0.83594,0.95394,0.68291,1.03728,0.73623,1.25075,0.0006734,0.0006734,0.0006734
69,463.611,1.19113,0.90042,1.29079,0.86017,0.85938,0.95446,0.68388,1.04032,0.72753,1.24133,0.0006536,0.0006536,0.0006536
70,470.417,1.16472,0.87452,1.21917,0.92158,0.875,0.96496,0.68646,1.01324,0.72426,1.26084,0.0006338,0.0006338,0.0006338
71,477.515,1.17792,0.88923,1.32266,0.92438,0.85953,0.96488,0.68399,1.02085,0.72953,1.25031,0.000614,0.000614,0.000614
72,484.084,1.19011,0.91468,1.34876,0.92565,0.87543,0.9718,0.67026,1.08439,0.70736,1.266,0.0005942,0.0005942,0.0005942
73,490.546,1.1802,0.83871,1.28164,0.97597,0.89844,0.98066,0.68063,1.06261,0.6862,1.25527,0.0005744,0.0005744,0.0005744
74,497.07,1.13101,0.85175,1.26086,0.95571,0.9375,0.98352,0.70278,1.03269,0.67751,1.24224,0.0005546,0.0005546,0.0005546
75,503.739,1.1108,0.84584,1.25511,0.95595,0.91406,0.97362,0.69324,1.0333,0.69148,1.24966,0.0005348,0.0005348,0.0005348
76,510.293,1.07485,0.84284,1.23076,0.96398,0.88281,0.9685,0.6995,0.98404,0.67149,1.2132,0.000515,0.000515,0.000515
77,516.782,1.11484,0.79856,1.18867,0.97433,0.88967,0.97199,0.70791,0.98674,0.65142,1.21468,0.0004952,0.0004952,0.0004952
78,523.674,1.15381,0.79889,1.23031,0.94397,0.91406,0.97557,0.70795,0.9773,0.63383,1.21036,0.0004754,0.0004754,0.0004754
79,530.425,1.09156,0.8165,1.25286,0.93919,0.90625,0.97562,0.69664,1.00755,0.63509,1.23113,0.0004556,0.0004556,0.0004556
80,536.953,0.99368,0.8237,1.19694,0.93652,0.89844,0.97694,0.70508,0.98853,0.63865,1.20511,0.0004358,0.0004358,0.0004358
81,543.522,1.00711,0.75196,1.1717,0.93507,0.90011,0.9761,0.72143,0.94222,0.62952,1.17394,0.000416,0.000416,0.000416
82,550.403,1.02132,0.78291,1.21994,0.97411,0.88199,0.97912,0.74832,0.89049,0.62517,1.14784,0.0003962,0.0003962,0.0003962
83,557.188,1.00771,0.73205,1.17235,0.94131,0.91406,0.98065,0.74636,0.89306,0.6137,1.15172,0.0003764,0.0003764,0.0003764
84,563.726,0.99606,0.72753,1.24625,0.96003,0.93815,0.98759,0.76172,0.87464,0.58739,1.13825,0.0003566,0.0003566,0.0003566
85,570.458,0.98009,0.7424,1.20154,0.97528,0.92969,0.98681,0.75195,0.87962,0.59058,1.1386,0.0003368,0.0003368,0.0003368
86,577.035,1.01998,0.72383,1.14564,0.97364,0.92188,0.98753,0.74588,0.88872,0.57743,1.14511,0.000317,0.000317,0.000317
87,583.492,0.97943,0.72676,1.15654,0.99151,0.91235,0.98917,0.75468,0.87705,0.56803,1.13565,0.0002972,0.0002972,0.0002972
88,589.952,0.99322,0.72805,1.18929,0.94757,0.96875,0.9918,0.769,0.83897,0.54555,1.11512,0.0002774,0.0002774,0.0002774
89,596.714,0.93732,0.67066,1.11606,0.95836,0.97656,0.99168,0.77581,0.84202,0.5436,1.11916,0.0002576,0.0002576,0.0002576
90,603.622,0.97354,0.69501,1.18048,0.94736,0.97656,0.99108,0.75635,0.88014,0.55465,1.13961,0.0002378,0.0002378,0.0002378
91,614.367,0.97699,0.70621,1.18534,0.92993,0.99219,0.98956,0.7529,0.90183,0.56651,1.14596,0.000218,0.000218,0.000218
92,620.944,0.95848,0.6684,1.20528,0.93222,0.99219,0.99043,0.77124,0.89073,0.56946,1.13373,0.0001982,0.0001982,0.0001982
93,627.432,0.93723,0.695,1.1947,0.93347,0.98649,0.99117,0.77752,0.87994,0.5612,1.12442,0.0001784,0.0001784,0.0001784
94,634.15,0.89352,0.61033,1.12099,0.94707,0.97853,0.99232,0.78576,0.83925,0.54661,1.10588,0.0001586,0.0001586,0.0001586
95,640.939,0.81397,0.56506,1.11007,0.96886,0.97236,0.99248,0.78744,0.82595,0.54389,1.10108,0.0001388,0.0001388,0.0001388
96,647.734,0.86111,0.58838,1.12901,0.96946,0.96875,0.99292,0.78746,0.81751,0.52524,1.09564,0.000119,0.000119,0.000119
97,654.513,0.84482,0.56209,1.13784,0.97679,0.96875,0.99324,0.78761,0.81424,0.51422,1.09465,9.92e-05,9.92e-05,9.92e-05
98,661.245,0.86702,0.58929,1.12163,0.99829,0.97656,0.99419,0.78806,0.80949,0.4995,1.09289,7.94e-05,7.94e-05,7.94e-05
99,668.065,0.81278,0.55304,1.07845,1,0.97916,0.99469,0.79057,0.80662,0.49502,1.09282,5.96e-05,5.96e-05,5.96e-05
100,674.885,0.81523,0.55688,1.0742,0.9968,0.98438,0.99462,0.79775,0.80069,0.48872,1.09089,3.98e-05,3.98e-05,3.98e-05
